2021/05/11 19:06:08 [warn] 1#1: conflicting server name "localhost" on 0.0.0.0:80, ignored
2021/05/11 19:13:09 [warn] 1#1: conflicting server name "localhost" on 0.0.0.0:80, ignored
2021/05/11 19:16:10 [error] 32#32: *1 open() "/usr/share/nginx/html/index.php" failed (2: No such file or directory), client: 192.168.48.1, server: localhost, request: "GET /index.php HTTP/1.1", host: "localhost:8080"
2021/05/11 19:32:04 [warn] 1#1: conflicting server name "localhost" on 0.0.0.0:80, ignored
2021/05/11 19:33:45 [warn] 1#1: conflicting server name "localhost" on 0.0.0.0:80, ignored
2021/05/11 19:37:36 [warn] 1#1: conflicting server name "localhost" on 0.0.0.0:80, ignored
2021/05/11 19:37:52 [warn] 1#1: conflicting server name "localhost" on 0.0.0.0:80, ignored
2021/05/12 14:04:43 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:04:45 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:04:45 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:04:47 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:04:48 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:04:51 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:04:55 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:05:02 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:05:16 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:05:42 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:06:34 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:07:35 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:08:36 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:09:37 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:10:38 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:11:39 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:12:40 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:13:40 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:14:41 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:15:42 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:16:43 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:17:44 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:18:45 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:19:46 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:20:47 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:21:48 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:22:48 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:23:49 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:24:50 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:25:51 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:26:52 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:27:53 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:28:54 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:29:55 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:30:55 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:31:56 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:32:57 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:33:58 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:34:59 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:36:00 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:37:01 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:38:02 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:39:03 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:40:04 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:41:04 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:42:05 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:43:06 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:44:07 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:45:08 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:46:09 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:47:10 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:48:11 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:49:12 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:50:13 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:51:13 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:52:14 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:53:15 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:54:16 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:55:17 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:56:18 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:57:19 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:58:20 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 14:59:21 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 15:00:21 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 15:01:22 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
